일련번호,주소,썸네일,제목,내용,제목_키워드,태그2,태그3,작성일,작성자
105,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/246940,https://www.itworld.co.kr/files/itworld/ITW_202207_02/m27-app_store_iphone.300x240.jpg,블로그 | 앱 스토어 독점 논란에서 애플을 마냥 비난할 수만은 없는 이유,"망치를 들고 있으면 모든 것이 못으로 보인다. 마찬가지로 화난 개발자에게는 애플의 정책이 모두 독재로 보일 것이다.

수년간 애플은 iOS 개발자들이 앱에서 서드파티 수단으로 결제하는 대신 애플의 자체 결제 시스템을 사용하도록 요구했다는 비판을 받았다...",애플,앱스토어,,2022.07.27,Neal Weinberg
106,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247402,https://www.itworld.co.kr/files/itworld/ITW_202207_02/GettyImages-1385065100.300x240.jpg,픽시브릭스 리뷰 | 웹사이트에 맞춤 기능을 추가하는 마법 같은 도구,"웹은 수많은 장점을 가지고 있지만 맞춤 서비스 측면에서는 조금 부족한 부분이 있다. 웹은 있는 그대로 받아들여야 하는 존재다. 특히 요즘은 브라우저 기반 도구와 서비스에 의존하는 경우가 많아서, 웹 경험의 유용성과 효율성은 높이기 쉽지 않다.?...",픽시브릭스,,,2022.07.28,Isaac Sacolick
107,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247120,https://www.itworld.co.kr/files/ciokr/2022/07/GettyImages-1357037068.300x240.jpg,"오라클, 7월 말 '자바 7' 확장 지원 중단한다","11년 된 표준 자바 릴리즈 ‘자바 7’의 끝이 다가왔다. 오라클은 이 릴리즈의 확장 지원을 2022년 7월 말 중단할 예정이라고 밝혔다.?
?


공식적인 확장 지원(Extended Support)이 중단되기 때문에 ‘자바 7’은 ...",오라클,자바,,2022.07.28,Anirban Ghoshal
108,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247576,https://www.itworld.co.kr/files/itworld/ITW_202207_02/GettyImages-1283633813.300x240.jpg,"깃가디언, 오픈소스 소프트웨어 위험 탐지 프로젝트 ggcanary 출범",코드 보안 플랫폼 제공업체 깃가디언(GitGuardian)이 침해된 개발자 및 데브옵스 환경을 탐지하기 위한 새로운 오픈소스 카나리아 토큰 프로젝트를 발표했다. 설명에 따르면 기업 보안 팀은 깃가디언의 카나리아 토큰(ggcanary)을 사용해서 아마존...,오픈소스,데브옵스,,2022.07.29,Simon Bisson
109,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247444,https://www.itworld.co.kr/files/itworld/ITW_202207_02/GettyImages-1367001395.300x240.jpg,"""클라우드 쓴다고 해도"" DB 설계가 여전히 개발자에 중요한 이유",오늘날 소프트웨어 개발자에게는 많은 선택지가 존재한다. 다양한 툴과 서비스를 활용해 새로운 애플리케이션을 빠르게 만들어 전 세계 고객에게 서비스를 출시하고 이후 확장해서 늘어난 수요에 대응할 수 있다. 마이크로서비스 아키텍처와 애자일 개발은 고객 요구...,데이터베이스,,,2022.07.29,Anirban Ghoshal
110,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247408,https://www.itworld.co.kr/files/ciokr/2022/07/thumbnail_hub4076432a9bd62034697.300x240.jpg,"R스튜디오, 포싯(Posit)으로 사명 바꿔…파이썬˙VS코드에 집중",R스튜디오가 회사 이름을 ‘포싯(Posit)’으로 변경한다. 27일(현지 시각) 美 워싱턴 D.C.에서 열린 연례 사용자 컨퍼런스에서 R스튜디오는 R을 넘어 파이썬 및 비주얼 스튜디오 코드 사용자까지 포함하기 위해 사명을 바꾼다고 발표했다.?...,R스튜디오,포싯,,2022.07.29,Hans Dockter
111,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247846,https://www.itworld.co.kr/files/itworld/ITW_202208_01/0801_lion.300x240.300x240.jpg,"멋쟁이사자처럼, iOS 앱 개발자 양성 프로그램 ‘앱 스쿨 1기’ 참여자 모집","글로벌 프로그래밍 교육 브랜드 ‘멋쟁이사자처럼(likelion)’은 2022년 9월 앱 스쿨 1기를 시작한다고 밝혔다.?
?


앱 스쿨 1기(https://projectlion.io/)는 iOS 앱 개발자 양성 부트 캠프로, Swi...",멋쟁이사자처럼,iOS,,2022.08.01,Serdar Yegulalp
112,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247810,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-1370419812.300x240.jpg,마이크로소프트의 오픈소스 SBOM 생성기 살펴보기,"솔라윈즈(SolarWinds) 해킹 사건 이후, 기업은 CI/CD를 도입하는 과정에서 확인해야 할 것이 많아졌다. 사용자에게 배포하는 소프트웨어를 의도한 대로 구축하려면 어떻게 해야 하는가? 코드의 의존성이 모두 원하는 형태로 나타났는가? 서드파티 모...",SBOM,오픈소스,,2022.08.01,Isaac Sacolick
113,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247786,https://www.itworld.co.kr/files/itworld/ITW_202208_01/0801_3_linux-logo-100704572-large.300x240.jpg,블로그 | 알파 베타 필요 없는 시브…구글 내부 서버의 리눅스 이야기,"캘리포니아 주 마운틴뷰에 위치한 구글 사무실에서는 윈도우 컴퓨터와 크롬북, 맥, 그리고 g리눅스를 볼 수 있다. g리눅스가 과연 뭘까??

구글은 서버 운영을 리눅스에 의존하지 않고 자체 리눅스 데스크톱 배포판도 사용하고 있다. 아쉽게도 이 ...",구분투,g리눅스,,2022.08.01,Sharon Machlis?
114,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/247654,https://www.itworld.co.kr/files/ciokr/2022/07/GettyImages-1357429819.300x240.jpg,"""C++의 기술적 부채 털자"" 구글, 개발언어 '카본' 공개","‘C++’을 대체하기 위해 개발 중인 오픈소스 프로그래밍 언어 ‘카본(Carbon)’은 C++과 동일한 수준의 성능 그리고 호환성을 지원하는 한편, 기술적 부채와 고질적인 문제를 해결할 계획이다.?

전 세계에서 가장 많이 쓰이는 프로그래밍 ...",C++,카본,,2022.08.01,Jonny Evans
115,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248254,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-1337844283.300x240.jpg,“SAP S/4HANA 전환의 가장 큰 걸림돌은 IT팀 간 정렬”,디지털 트랜스포메이션 서비스 업체 린IX(LeanIX)의 보고서에 의하면 SAP ECC 온프레미스 제품군 지원이 2030년 종료될 예정인 가운데 현재 SAP 고객이거나 SAP ERP 고객이 될 예정인 소수의 기업만 S/4HANA 마이그레이션을 완료한 ...,SAP S/4HANA,ERP,,2022.08.03,Aviad Mizrachi
116,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248128,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-1329399906.300x240.jpg,파이썬 앱 구성을 더 쉽게?TOML의 이해와 기본 활용,"소프트웨어 개발에서 흥미로운 반전은 가장 간단한 의사 결정이 때로는 가장 어려운 의사 결정이 되기도 한다는 것이다. 예를 들면 애플리케이션이나 서비스에 사용할 구성 파일 형식을 선택하는 것이 있다. JSON과 YAML, 2가지가 떠오를 것이다. 그러나...",TOML,파이썬,,2022.08.03,Tim Ferrill
117,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248554,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-1389432484.300x240.jpg,'마이크로서비스'에 최적화된 C++용 비동기 프레임워크 '유저버' 베타 버전 출시,"효율적인 I/O 인터랙션를 구현하고 싶은 C++ 개발자가 있다면 오픈소스 프레임워크 ‘유저버(userver)’를 이용해보자. 비동기식 마이크로서비스를 쉽고 빠르게 구축할 수 있을 것이다.?
?


유저버는 비동기 프레임워크로 C++ ...",C++,비동기 프레임워크,,2022.08.04,Serdar Yegulalp
118,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248524,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-1277097069.300x240.jpg,"DR 직군, 클라우드 인프라 업체에서 연봉 가장 높아…커먼 룸 조사","클라우드 인프라 업체가 핀테크, 데이터 분석, 머신러닝, B2B SaaS 등의 기타 업계보다 DR(Developer relations, 디벨로퍼 릴레이션) 직군에 더 높은 연봉을 제시한다는 조사 결과가 발표됐다. 고객 참여와 커뮤니티 관계, 제품 사용...",데브릴,디벨로퍼릴레이션,,2022.08.04,Jon Udell
119,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248908,https://www.itworld.co.kr/files/itworld/ITW_202208_01/metaverse_StereoKit.300x240.jpg,닷넷 기반 메타버스 앱을 만드는 오픈소스 ‘스테레오키트’ 살펴보기,유니티는 윈도우 환경에서 혼합 현실(mixed reality) 앱을 만들 때 사용하는 대표 플랫폼이다. 하지만 최근 혼합 현실에 대한 관심이 높아지면서 유니티를 대체할만한 기술도 많이 나오고 있다. 가령 웹XR(WebXR)이나 베이비론JS와 리액트 네...,혼합현실,스테레오키트,,2022.08.05,Paul Krill
120,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/248716,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-1154614365.300x240.jpg,"""성능 최대 20% 향상"" 구글, '고' 1.19 버전 공개","구글이 ‘고(Go)’ 프로그래밍 언어의 최신 버전을 선보였다. 이번 업데이트는 최근 추가된 제네릭을 개선하고, 향상된 메모리 모델을 선보였다.?지난 8월 2일(현지 시각) ‘고 1.19’이 공개됐다. 개발팀에 따르면 제네릭 개발은 해당 커뮤니...",고,고 언어,,2022.08.05,Matt Asay
121,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/249508,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-1385936291.300x240.jpg,"""자바 앱 서버의 표준"" 톰캣의 이해와 기본 활용","아파치 톰캣(Apache Tomcat)은?오랜 기간 널리 쓰인 오픈 소스 자바(Java) 서블릿 컨테이너다. 자카르타 서블릿(Jakarta Servlet),?자카르타 서버 페이지(Jakarta Server Pages), 자카르타 웹소켓(Jakarta ...",톰캣,tomcat,,2022.08.10,Josh Fruhlinger
122,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/249502,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-1198392714.300x240.jpg,"""막을 수 없는 기세"" 파이썬, 개발언어 인기지수 또 1위","‘막을 수 없는 기세의’ 파이썬이 다시 한번 티오베(Tiobe) 그리고 Pypl(PopularitY of Programming Language) 지수에서 모두 1위를 차지했다.
?


파이썬이 티오베 지수에서 처음으로 1위를 차지한 지 1년가...",프로그래밍 언어,개발 언어,파이썬,2022.08.10,Matthew Tyson
123,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/249886,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-1392110811.300x240.jpg,"""정의부터 제각각"" 설문조사로 본 앱 현대화의 현주소","IT 리더 대부분이 애플리케이션 현대화 과정에서 어려움을 겪고 있는 것으로 나타났다. '애플리케이션 현대화(Application modernization)'란 레거시 시스템을 새로운 애플리케이션이나 플랫폼으로 전환하는 것으로, 이 과정에서 새로운 기능...",애플리케이션 현대화,AM,,2022.08.11,Sharon Machlis?
124,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/249844,https://www.itworld.co.kr/files/itworld/ITW_202208_01/0811_2_microsoft-emoji-mash-100931176-large.300x240.jpg,"마이크로소프트, 자사 이모티콘 깃허브에 오픈소스로 공개","마이크로소프트가 자체 개발 이모티콘의 대부분을 모든 개발자가 자유롭게 변경할 수 있게 깃허브와 피그마(Figma)에 오픈소스로 공개했다.
?


그러나 사용자 개인이 자신만의 이모티콘을 디자인해 윈도우에서 사용하게 되거나, 모든 이모티콘이 오...",이모티콘,이모지,클리피,2022.08.11,Anirban Ghoshal
125,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/250156,https://www.itworld.co.kr/files/itworld/ITW_202208_01/angular_15_release_thumb.300x240.jpg,"앵귤러 15 버전 11월 출시...""독립형 컴포넌트 안정성 높인다""","앵귤러 개발팀이 올 11월 출시되는 앵귤러 15에 독립형 컴포넌트 API의 안정성을 높이고 애플리케이션 빌드 과정을 단순화하겠다고 밝혔다. 여기에 UI 로직의 구성 방식도 변경할 예정이다.?
?


앵귤러 15는 웹 개발을 위한 타입...",앵귤러,오픈소스,타입스크립트,2022.08.12,Anirban Ghoshal
126,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/250096,https://www.itworld.co.kr/files/itworld/ITW_202208_01/GettyImages-918639620.300x240.jpg,"앱 현대화 ""필수지만 어려워""…도구 및 인력 교육이 과제",대다수 IT 의사결정자가 애플리케이션 현대화 과정에서 어려움을 겪고 있다는 애스퍼리타스 컨설팅(Asperitas Consulting)의 보고서가 발표됐다. 가트너에 따르면 애플리케이션 현대화는 새로운 기능의 통합을 포함해 기존 시스템을 새로운 애플리케...,앱현대화,애플리케이션현대화,클라우드네이티브,2022.08.12,김은혜 기자
127,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/250756,https://www.itworld.co.kr/files/ciokr/2022/08/go_green-light_traffic-signal_by-pawel-czerwinski-unsplash-100765091-large.300x240.jpg,'어느덧 10살 넘은' 고(Go) 언어를 돌아보다,"구글에서 개발한 인기 프로그래밍 언어 ‘고(Go)’의 강점, 약점, 사용 사례, 앞으로의 발전 방향을 살펴본다.?

구글의 프로그래밍 언어, 일명 ‘고랭’(2022년 3월 현재 버전 1.18)은 출시 당시 마니아 개발자에게 주목받는 신기한 언...",구글,고 언어,고랭,2022.08.18,Isaac Sacolick
128,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/250996,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-1401439987.300x240.jpg,“마이크로소프트 365도 옮겼다” 윈도우 앱을 컨테이너로 옮기는 방법,"마이크로소프트 플랫폼 상에서 구축 작업을 하는 개발자라면 누구나 알고 있는 오랜 격언은 “어떤 마이크로소프트 제품이 전성기를 맞이할 준비가 되었는지 파악하려면, 그 제품이 마이크로소프트의 주력 애플리케이션이나 서비스에 사용되는지 여부를 보면 알 수 있...",마이크로소프트365,마이그레이션,리팩터링,2022.08.22,Neal Weinberg
129,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/250828,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-1413607646.300x240.jpg,"""데노 vs. Node.js"" JS 런타임 선택 가이드","Node.js는 여전히 가장 널리 쓰이는 자바스크립트 런타임 환경이다. 그러나 데노(Deno)는 보안이 뛰어나고 더 현대적이다. 데노와 Node.js를 비교하고 실제 프로젝트에 어떤 것을 사용하는 것이 좋을지 판단하는 기준을 살펴보자.
?

...",데노,Node.js,Deno,2022.08.22,Adam Bellemare
130,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/251080,https://www.itworld.co.kr/files/itworld/ITW_202208_02/YAML_Error_fix.300x240.jpg,YAML의 숨은 오류를 미리 막아주는 7가지 팁,"YAML는 쿠버네티스(Kubernetes), 앤서블(Ansible), 서클CI(CircleCI), 솔트(Salt)를 포함한 많은 최신 애플리케이션의 중심에 서 있는 언어다. YAML Ain't Markup Language라는 문장의 앞 자를 따서 만든...",YAML,오류,문자열,2022.08.23,Isaac Sacolick
131,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/251026,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-1414341859.300x240.jpg,"""자바 고속 직렬화의 진화"" 마이크로스트림의 이해",마이크로스트림(MicroStream)은 자바 애플리케이션의 데이터 지속성을 위한 흥미로우면서 대담한 접근 방식이다. 서버-데이터스토어의 복잡성을 완전히 없애고 애플리케이션 내에서 실행되는 객체 지속성 계층을 제공하는 방식을 제안한다. 최근 오라클이 헬...,마이크로스트림,MicroStream,,2022.08.23,Paul Krill
132,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/251680,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-478652342.300x240.jpg,‘C# 11’ 출시 임박··· “객체 초기화 등 기능 추가”,"마이크로소프트에서 개발한 객체 지향 및 타입 세이프 프로그래밍 언어의 새 버전 ‘C# 11’이 거의 완성됐다. 현재 객체 초기화 개선, 일반 수학 지원 등 같은 기능을 추가 중이다.?
?


C#에서?객체 초기화를 사용하면 ...",마이크로소프트,C#,C# 11,2022.08.25,Simon Bisson
133,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/251626,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-1346698461.300x240.jpg,글로벌 칼럼 | 데브옵스 시대는 끝났다,"소프트웨어 개발 작업이 점점 더 복잡해짐에 따라 개발(dev) 전문가와 운영(ops) 전문가를 다시 한번 분리해야 할 때가 다가오고 있다. 이번에는 과거의 실수를 반복하지 않고 해낼 수 있을까?
?


2000년대 후반 소프트웨어가 세상을 집...",데브옵스,DevOps,,2022.08.25,Simon Bisson
134,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/251890,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-637978330.300x240.jpg,"커리어 로드맵 | 클라우드 아키텍트 “폭넓은 관심과 경험, 학습 필요”","모든 종류의 조직에서 클라우드 서비스에 대한 수요가 증가하는 가운데 이와 관련된 기술력을 갖춘 전문가에 대한 수요도 높아지고 있다. 조직의 클라우드 환경을 개발하고 관리하는 클라우드 아키텍트도 그중 하나다.?

클라우드 아키텍트는 주로 클라우...",아키텍트,아키텍처,경력관리,2022.08.26,Jonny Evans
135,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/252382,https://www.itworld.co.kr/files/itworld/ITW_202208_02/Typescript_4_8.300x240.jpg,타입스크립트 4.8 공식 출시…교차 및 유니온 타입 개선,"마이크로소프트가 타입스크립트(TypeScript) 4.8의 공식 버전을 출시했다. 새 버전은 리눅스와 맥OS 내 파일 감시 관련 오류를 수정하고, 타입 개선으로 정확성과 일관성 높였다.?
?


새로운 타입스크립트는 strictNul...",타입스크립트,자바스크립트,마이크로소프트,2022.08.30,Paul Krill
136,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/252610,https://www.itworld.co.kr/files/ciokr/2022/08/1024px-thumbnail-100721583-large.300x240.jpg,글로벌 칼럼ㅣ한때 잘 나갔는데…‘헤로쿠’가 시들해지는 이유,"한때 애플리케이션 배포의 대명사였던 ‘헤로쿠(Heroku)’는 투자 부족으로 다른 배포 옵션을 많이 제공하지 않고 있다.?

‘헤로쿠’에 관해 이야기할 때면 항상 ‘하지만’이 붙는다. 이를 감안하고 보도록 하자. 필자는 지난 15년 동안 헤로...",헤로쿠,PaaS,애플리케이션 배포,2022.08.31,Sharon Machlis?
137,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/252526,https://www.itworld.co.kr/files/itworld/ITW_202208_02/0831_sap.300x240.300x240.PNG,"SAP 코리아-서울시, ‘클라우드 기반 재무 애플리케이션 개발자 양성 과정’ 운영...10월 3일까지 교육생 모집","SAP 코리아는 ‘기업용 클라우드 기반 재무 애플리케이션 개발자 양성 과정’ 참가자를 모집한다고 밝혔다. 해당 교육과정은 소프트웨어 분야 취업 희망자에게 실무 중심 교육을 전액 무료로 제공한다.

이번 프로그램은 서울시와 서울산업진흥원이 소프트웨어 혁...",SAP 코리아,서울시,재무,2022.08.31,Serdar Yegulalp
138,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/252478,https://www.itworld.co.kr/files/itworld/ITW_202208_02/GettyImages-1416878492.300x240.jpg,거의 모든 SW 개발의 필수?JSON 데이터 포맷의 이해,"JSON은 JavaScript Object Notation의 약어로, 데이터를 표현하는 데 사용되는 형식이다. 2000년대 초반 자바스크립트의 일부로 등장했고 점점 확장돼 텍스트 기반 데이터를 기술하고 교환하는 가장 보편적인 매체로 발전했다. 현재 J...",JSON,,,2022.08.31,김은혜 기자
139,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/252982,https://www.itworld.co.kr/files/ciokr/2022/08/GettyImages-1296423301.300x240.jpg,딥러닝 프레임워크 ‘3파전’··· '텐서플로우 vs 파이토치 vs JAX' 비교,"오늘날 딥러닝 연구 및 개발을 주도하는 3가지 프레임워크가 있다. 각각 사용 편의성, 기능 및 성숙도, 엄청난 확장성으로 유명하다. 어떤 프레임워크를 사용해야 할까??

시리, 알렉사, 실시간 번역 앱, 로봇, 자율주행차 등에 들어가는 ‘딥러...",딥러닝,머신러닝,인공지능,2022.09.01,Simon Bisson
140,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/253048,https://www.itworld.co.kr/files/itworld/ITW_202209_01/GettyImages-1416784183.300x240.jpg,실시간 데이터 시대 핵심 기술?이벤트 기반 아키텍처의 이해,"데이터는 기하급수적으로 증가한다. 전 세계에서 매일 생성되는 데이터의 양은 3년 후면 463엑사바이트에 이르게 된다. 이해를 돕기 위해 설명하자면 인간이 지금까지 생성한 모든 단어의 총합이 5엑사바이트다.
?


지금의 디지털 경제에서 성공하...",이벤트 기반 아키텍처,,,2022.09.02,Neal Weinberg
141,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/253468,https://www.itworld.co.kr/files/itworld/ITW_202209_01/GettyImages-1190540498.300x240.jpg,"""개발 역량 안에서부터"" 시민 개발자 자원을 개발하고 활용하는 방법","한동안 IT 인재 공백이 심각해질 것으로 예상되는 상황에서 기업도 디지털 트랜스포메이션과 인재 충원 대응 전략으로 로우코드와 노코드 앱 개발을 고려하고 있다.

사실 이제 기업에서도 로우코드와 노코드로 앱을 개발하는 것은 예외가 아니라 규칙으로 자리 ...",시민개발자,로우코드,노코드 빌더,2022.09.05,Isaac Sacolick
142,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/253324,https://www.itworld.co.kr/files/itworld/ITW_202209_01/MS_VisualStudio_Extensibility.300x240.jpg,비주얼 스튜디오의 새로운 확장 모델 이해하기,"최근 비주얼 스튜디오 코드(Visual Studio Code)가 엄청난 인기를 누리고 있긴 하지만, 그래도 마이크로소프트의 개발 툴 핵심은 비주얼 스튜디오 IDE다. 25년 이상의 역사를 가진 비주얼 스튜디오 IDE는 사용자별 맞춤 개발환경을 구축하는...",비주얼스튜디오,확장,마이크로소프트,2022.09.05,Anirban Ghoshal
143,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/253534,https://www.itworld.co.kr/files/itworld/ITW_202209_01/m6-GettyImages-915332378.300x240.jpg,"""보안 위험 줄이는 종속성 관리법"" 오픈SSF, 'npm 베스트 프랙티스 가이드' 발표","최근 오픈SSF(The Open Source Security Foundation, OpenSSF)가 npm 베스트 프랙티스 가이드(npm Best Practices Guide)를 발표했다. 자바스크립트와 타입스크립트 개발자가 오픈소스 종속성 관련 보안...",오픈SSF,오픈소스,종속성관리,2022.09.06,Neal Weinberg
144,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254218,https://www.itworld.co.kr/files/itworld/ITW_202209_01/GettyImages-1419100538.300x240.jpg,초보 메인프레임 개발자를 위한 AI 검색 툴 '코볼 컬리그',"다른 모든 분야와 마찬가지로 소프트웨어 개발에도 생산성이 중요하다. 그런데 일반적으로 개발자가 필요한 변경 작업을 하기 위해 코드를 검색하고 동작을 이해하는 데만 업무 시간의 약 75%를 소비한다.
?


개발자가 실질적인 작업을 시작하기 전...",코볼 컬리그,코볼,메인프레임,2022.09.13,Anirban Ghoshal
145,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254674,https://www.itworld.co.kr/files/itworld/ITW_202209_01/0914_school.300x240.jpg,"그렙 ‘프로그래머스 스쿨’, 온라인 기반 개발자 학습 커뮤니티 플랫폼으로 개편","그렙이 개발자 교육 서비스 ‘프로그래머스 스쿨’을 ‘온라인 개발자 학습 커뮤니티 플랫폼’으로 개편했다고 밝혔다.
?


개편된 ‘프로그래머스 스쿨’은 개발자의 전문적인 ‘실무형 교육’을 위해 학습자와 교·강사가 자유롭게 강의를 개설하고 소통할...",그렙,프로그래머,,2022.09.14,Anirban Ghoshal
146,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254626,https://www.itworld.co.kr/files/itworld/ITW_202209_01/0914_puzzle.300x240.jpg,"퍼즐데이터, 특허 2건 취득…“프로세스 마이닝 핵심 기술 개발”","퍼즐데이터는 ‘프로세스 마이닝 결과를 출력하는 방법 및 장치’와 ‘표준 프로세스를 기반으로 한 사용자 프로세스 분석 장치 및 방법’ 기술을 개발해 2건의 특허 출원을 완료했다고 밝혔다.
?


첫 번째 특허 ‘프로세스 마이닝 결과를 출력하는 ...",퍼즐데이터,,,2022.09.14,Serdar Yegulalp?
147,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254566,https://www.itworld.co.kr/files/itworld/ITW_202209_01/0914_Qt_professional.300x240.jpg,"더큐티컴퍼니, 신규 고객 위한 앱 개발 맞춤형 컨설팅 서비스 ‘Qt 스타터팩’ 공개,","더큐티컴퍼니는 신규 고객을 위한 애플리케이션 개발 맞춤형 컨설팅 서비스 패키지인 ‘Qt 스타터 팩(Qt Starter Pack)’을 발표했다.
?


입문 고객을 위한 서비스 패키지인 ‘Qt 스타터 팩’은 다수의 애플리케이션 개발 경험을 갖춘...",더큐티컴퍼니,Qt,,2022.09.14,Josh Fruhlinger
148,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254548,https://www.itworld.co.kr/files/itworld/ITW_202209_01/rust_22_sep.300x240.jpg,“러스트 언어 보안성 높인다”…재단에 자체 보안팀 배치,"러스트 재단이 러스트(Rust) 언어의 보안 수준을 평가하고 강화하기 위해 자체적으로 보안팀을 지원하겠다고 밝혔다.?
?


이번에 새로 생기는 러스트 보안팀은 전문 인력으로 구성됐으며, 러스트 커뮤니티를 지원하고, 프로그래밍 언어의...",오픈소스,러스트,보안,2022.09.14,Matthew Tyson
149,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/254536,https://www.itworld.co.kr/files/itworld/ITW_202209_01/0914_cj.300x240.jpg,CJ올리브네트웍스-비마이프렌즈 사업 협약 체결...“크리에이터 이코노미 생태계 확장에 나선다”,"CJ올리브네트웍스가 글로벌 팬덤 비즈니스 전문 스타트업 비마이프렌즈와 함께 크리에이터 이코노미 생태계 확장에 나선다고 밝혔다.
?


크리에이터 이코노미란 창작자, 개발자, 작가 등 콘텐츠를 생산하는 크리에이터들이 온라인 및 모바일 플랫폼에서...",CJ올리브네트웍스,비마이프렌즈,크리에이터,2022.09.14,Adam Bellemare
